OBJECT Cylinder01
100 pModel->numberOfFrames 0
100 pModel->numberOfFrames 1
100 pModel->numberOfFrames 2
100 pModel->numberOfFrames 3
100 pModel->numberOfFrames 4
100 pModel->numberOfFrames 5
100 pModel->numberOfFrames 6
100 pModel->numberOfFrames 7
100 pModel->numberOfFrames 8
100 pModel->numberOfFrames 9
100 pModel->numberOfFrames 10
100 pModel->numberOfFrames 11
100 pModel->numberOfFrames 12
100 pModel->numberOfFrames 13
100 pModel->numberOfFrames 14
100 pModel->numberOfFrames 15
100 pModel->numberOfFrames 16
100 pModel->numberOfFrames 17
100 pModel->numberOfFrames 18
100 pModel->numberOfFrames 19
100 pModel->numberOfFrames 20
100 pModel->numberOfFrames 21
100 pModel->numberOfFrames 22
100 pModel->numberOfFrames 23
100 pModel->numberOfFrames 24
100 pModel->numberOfFrames 25
100 pModel->numberOfFrames 26
100 pModel->numberOfFrames 27
100 pModel->numberOfFrames 28
100 pModel->numberOfFrames 29
100 pModel->numberOfFrames 30
100 pModel->numberOfFrames 31
100 pModel->numberOfFrames 32
100 pModel->numberOfFrames 33
100 pModel->numberOfFrames 34
100 pModel->numberOfFrames 35
100 pModel->numberOfFrames 36
100 pModel->numberOfFrames 37
100 pModel->numberOfFrames 38
100 pModel->numberOfFrames 39
100 pModel->numberOfFrames 40
100 pModel->numberOfFrames 41
100 pModel->numberOfFrames 42
100 pModel->numberOfFrames 43
100 pModel->numberOfFrames 44
100 pModel->numberOfFrames 45
100 pModel->numberOfFrames 46
100 pModel->numberOfFrames 47
100 pModel->numberOfFrames 48
100 pModel->numberOfFrames 49
100 pModel->numberOfFrames 50
100 pModel->numberOfFrames 51
100 pModel->numberOfFrames 52
100 pModel->numberOfFrames 53
100 pModel->numberOfFrames 54
100 pModel->numberOfFrames 55
100 pModel->numberOfFrames 56
100 pModel->numberOfFrames 57
100 pModel->numberOfFrames 58
100 pModel->numberOfFrames 59
100 pModel->numberOfFrames 60
100 pModel->numberOfFrames 61
100 pModel->numberOfFrames 62
100 pModel->numberOfFrames 63
100 pModel->numberOfFrames 64
100 pModel->numberOfFrames 65
100 pModel->numberOfFrames 66
100 pModel->numberOfFrames 67
100 pModel->numberOfFrames 68
100 pModel->numberOfFrames 69
100 pModel->numberOfFrames 70
100 pModel->numberOfFrames 71
100 pModel->numberOfFrames 72
100 pModel->numberOfFrames 73
100 pModel->numberOfFrames 74
100 pModel->numberOfFrames 75
100 pModel->numberOfFrames 76
100 pModel->numberOfFrames 77
100 pModel->numberOfFrames 78
100 pModel->numberOfFrames 79
100 pModel->numberOfFrames 80
100 pModel->numberOfFrames 81
100 pModel->numberOfFrames 82
100 pModel->numberOfFrames 83
100 pModel->numberOfFrames 84
100 pModel->numberOfFrames 85
100 pModel->numberOfFrames 86
100 pModel->numberOfFrames 87
100 pModel->numberOfFrames 88
100 pModel->numberOfFrames 89
100 pModel->numberOfFrames 90
100 pModel->numberOfFrames 91
100 pModel->numberOfFrames 92
100 pModel->numberOfFrames 93
100 pModel->numberOfFrames 94
100 pModel->numberOfFrames 95
100 pModel->numberOfFrames 96
100 pModel->numberOfFrames 97
100 pModel->numberOfFrames 98
100 pModel->numberOfFrames 99
100 pModel->numberOfFrames 100
100 pModel->numberOfFrames 101
OBJECT Cone01
100 pModel->numberOfFrames 0
100 pModel->numberOfFrames 1
100 pModel->numberOfFrames 2
100 pModel->numberOfFrames 3
100 pModel->numberOfFrames 4
100 pModel->numberOfFrames 5
100 pModel->numberOfFrames 6
100 pModel->numberOfFrames 7
100 pModel->numberOfFrames 8
100 pModel->numberOfFrames 9
100 pModel->numberOfFrames 10
100 pModel->numberOfFrames 11
100 pModel->numberOfFrames 12
100 pModel->numberOfFrames 13
100 pModel->numberOfFrames 14
100 pModel->numberOfFrames 15
100 pModel->numberOfFrames 16
100 pModel->numberOfFrames 17
100 pModel->numberOfFrames 18
100 pModel->numberOfFrames 19
100 pModel->numberOfFrames 20
100 pModel->numberOfFrames 21
100 pModel->numberOfFrames 22
100 pModel->numberOfFrames 23
100 pModel->numberOfFrames 24
100 pModel->numberOfFrames 25
100 pModel->numberOfFrames 26
100 pModel->numberOfFrames 27
100 pModel->numberOfFrames 28
100 pModel->numberOfFrames 29
100 pModel->numberOfFrames 30
100 pModel->numberOfFrames 31
100 pModel->numberOfFrames 32
100 pModel->numberOfFrames 33
100 pModel->numberOfFrames 34
100 pModel->numberOfFrames 35
100 pModel->numberOfFrames 36
100 pModel->numberOfFrames 37
100 pModel->numberOfFrames 38
100 pModel->numberOfFrames 39
100 pModel->numberOfFrames 40
100 pModel->numberOfFrames 41
100 pModel->numberOfFrames 42
100 pModel->numberOfFrames 43
100 pModel->numberOfFrames 44
100 pModel->numberOfFrames 45
100 pModel->numberOfFrames 46
100 pModel->numberOfFrames 47
100 pModel->numberOfFrames 48
100 pModel->numberOfFrames 49
100 pModel->numberOfFrames 50
100 pModel->numberOfFrames 51
100 pModel->numberOfFrames 52
100 pModel->numberOfFrames 53
100 pModel->numberOfFrames 54
100 pModel->numberOfFrames 55
100 pModel->numberOfFrames 56
100 pModel->numberOfFrames 57
100 pModel->numberOfFrames 58
100 pModel->numberOfFrames 59
100 pModel->numberOfFrames 60
100 pModel->numberOfFrames 61
100 pModel->numberOfFrames 62
100 pModel->numberOfFrames 63
100 pModel->numberOfFrames 64
100 pModel->numberOfFrames 65
100 pModel->numberOfFrames 66
100 pModel->numberOfFrames 67
100 pModel->numberOfFrames 68
100 pModel->numberOfFrames 69
100 pModel->numberOfFrames 70
100 pModel->numberOfFrames 71
100 pModel->numberOfFrames 72
100 pModel->numberOfFrames 73
100 pModel->numberOfFrames 74
100 pModel->numberOfFrames 75
100 pModel->numberOfFrames 76
100 pModel->numberOfFrames 77
100 pModel->numberOfFrames 78
100 pModel->numberOfFrames 79
100 pModel->numberOfFrames 80
100 pModel->numberOfFrames 81
100 pModel->numberOfFrames 82
100 pModel->numberOfFrames 83
100 pModel->numberOfFrames 84
100 pModel->numberOfFrames 85
100 pModel->numberOfFrames 86
100 pModel->numberOfFrames 87
100 pModel->numberOfFrames 88
100 pModel->numberOfFrames 89
100 pModel->numberOfFrames 90
100 pModel->numberOfFrames 91
100 pModel->numberOfFrames 92
100 pModel->numberOfFrames 93
100 pModel->numberOfFrames 94
100 pModel->numberOfFrames 95
100 pModel->numberOfFrames 96
100 pModel->numberOfFrames 97
100 pModel->numberOfFrames 98
100 pModel->numberOfFrames 99
100 pModel->numberOfFrames 100
100 pModel->numberOfFrames 101
OBJECT Cylinder02
100 pModel->numberOfFrames 0
100 pModel->numberOfFrames 1
100 pModel->numberOfFrames 2
100 pModel->numberOfFrames 3
100 pModel->numberOfFrames 4
100 pModel->numberOfFrames 5
100 pModel->numberOfFrames 6
100 pModel->numberOfFrames 7
100 pModel->numberOfFrames 8
100 pModel->numberOfFrames 9
100 pModel->numberOfFrames 10
100 pModel->numberOfFrames 11
100 pModel->numberOfFrames 12
100 pModel->numberOfFrames 13
100 pModel->numberOfFrames 14
100 pModel->numberOfFrames 15
100 pModel->numberOfFrames 16
100 pModel->numberOfFrames 17
100 pModel->numberOfFrames 18
100 pModel->numberOfFrames 19
100 pModel->numberOfFrames 20
100 pModel->numberOfFrames 21
100 pModel->numberOfFrames 22
100 pModel->numberOfFrames 23
100 pModel->numberOfFrames 24
100 pModel->numberOfFrames 25
100 pModel->numberOfFrames 26
100 pModel->numberOfFrames 27
100 pModel->numberOfFrames 28
100 pModel->numberOfFrames 29
100 pModel->numberOfFrames 30
100 pModel->numberOfFrames 31
100 pModel->numberOfFrames 32
100 pModel->numberOfFrames 33
